questionType,contentBody,intAnswer,prepTime,floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,What does History tab in Postman is used for?,,10,,,,Every request you send in Postman appears under the History tab of the sidebar.,,History is a collection.,History is a folder.,None of these,Every request you send in Postman appears under the History tab of the sidebar.,,,0
mcsc,Which of the following HTTP method should be used to fetch resource using RESTful web service?,,10,,,,GET,,GET,DELETE,PUT,OPTIONS,,,0
mcsc,Which of the following is not supported in Postman?,,10,,,,None of these,,PATCH,DELETE,COPY,None of these,,,0
mcsc,Which of the following HTTP method should be used to create resource using RESTful web service?,,10,,,,PUT,,GET,DELETE,PUT,OPTIONS,,,0
mcsc,"If Web service operation has both input and output messages, then the operation is",,10,,,,Request Response Operation,,One Way operation,Request Response Operation,Solicit response operation,Notification Operation,,,0
mcsc,Select the variable scope in Postman which are suitable if you need a value to override all other variable scopes but do not want the value to persist once execution has ended?,,10,,,,Local variables,,Global variables,Collection variables,Environment variables,Local variables,,,0
mcsc,"what does a REST URI Consist of:
 1. Base URL
 2. Resource
 3. Parameter",,10,,,,"1, 2 & 3",,1 & 2,"1, 2 & 3",1 only,1 & 3,,,0
mcsc,"Which of the following variable scope in Postman are suitable if you are only using a single environment, for example for auth / URL details ?",,10,,,,Collection variables,,Global variables,Collection variables,Local variables,Environment variables,,,0
mcsc,"What does it mean when a service is ""stateless?""",,10,,,,The service does not depend on the condition of any other service; all information needed to provide a response comes from the request and response is not stored.,,"The service is not tied to a particular framework, such as Java Enterprise Edition or Microsoft .NET",The service does not depend on the condition of any other service; all information needed to provide a response comes from the request and response is not stored.,"The service is created independently of a programming language, such as Java or C#",None of the above,,,0
mcsc,"What does a representation consists of, in REST?",,10,,,,All of these,,data,metadata describing the data,metadata to describe the metadata,All of these,,,0
mcsc,Which of the following is the standard used to describe web services?,,10,,,,WSDL,,WSDL,UDDI,SOAP,None,,,0
mcsc,Select the variable scope in Postman which are suitable if you need a value to override all other variable scopes but do not want the value to persist once execution has ended?,,10,,,,Local variables,,Global variables,Collection variables,Local variables,Environment variables,,,0
mcsc,CRUD stands for?,,10,,,,"Create, Retrieve, Update and Delete",,"Create, Retrieve, Update and Delete","Create, Receive, Update and Delete","Create, Retrieve, Use and Delete","Create, Retrieve, Update and Deprecate",,,0
mcsc,Which of the following component of HTTP response indicates server status for the requested resource?,,10,,,,Status/Response Code,,Status/Response Code,HTTP Version,Response Header,Response Body,,,0
mcsc,Which is the correct form to insert an environment variable into a script in tests tab?,,10,,,,"environment[""Variable_Name""]",,{{Variable_Name}},"postman.setEnvironmentVariable(""Variable_Name"")","environment[""Variable_Name""]",EnvironmentVariable.Variable_Name,,,0
mcsc,How would you access the value of the variables from a data file inside prerequisite and test scripts?,,10,,,,Both a and b,,data.username,data[‘username’],Both a and b,Data file variables cannot be accessed in prerequisite and test scripts,,,0
mcsc,How would you get a Response Header message?,,10,,,,responseHeaders.Message;,,postman.getResponseHeaderMessage;,postman.getResponseHeader(message);,postman.getResponseHeader.Message;,responseHeaders.Message;,,,0
mcsc,How would you use Postman Chrome app to read and write cookies?,,10,,,,Both b and c are true,,There is no way to read and write cookies using Postman Chrome app,Chrome app is not equipped to handle cookies by itself,Utilize Postman Interceptor extension to read and write cookies,Both b and c are true,,,0
mcsc,What happens when the dynamic variable {{$randomInt}} is added?,,10,,,,Adds a random integer between 0 and 1000,,Adds a random integer between 0 and 10,Adds a random integer between 0 and 100,Adds a random integer between 0 and 1000,Adds a random integer between 0 and 10000,,,0
mcsc,"Which of the following HTTP Status code means INTERNAL SERVER EROOR, states that the method occurs due to some error on server side?",,10,,,,500,,400,404,200,500,,,0
mcsc,"Assume you get the following response for a request:
 
 {
 
  ""timestamp"": 1491748899439,
 
  ""status"": 401
 
 }",,10,,,,"var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);",,"var jsonData = JSON.parse(responseBody); postman.setGlobalVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", timestamp.jsonData);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""tokens"", timestamp.jsonData);",,,0
mcsc,Which REST API test requirement gathering technique should be used in situations where the requirements depend heavily on different types of users ?,,10,,,,Role Playing,,Prototyping,User Observation,Brainstorming,Role Playing,,,0
mcsc,"Which REST API test requirement gathering technique, involves recording the user actions and activities ?",,10,,,,users observation,,Interview,Questionnaires,Brainstorming,users observation,,,0
mcsc,What is the first step in REST API test requirement gathering process ?,,10,,,,Developing a vision for the high-level details,,Brainstorming for features of requirement,Breakdown of features into user story,Defining detailed requirements,Developing a vision for the high-level details,,,0
mcsc,Which aspect of application is identified by REST API testing before moving the application to market or production ?,,10,,,,All of these,,response time,accessibility of system components,support for various devices to make system more accessible,All of these,,,0
mcsc,What is the recommended method and URL pattern for retrieving a specific User?,,10,,,,GET/Users/{id},,GET/User/{id},GET/Users/{id},GET/User?id={id},GET/Users?id={id},,,0
mcsc,Select the most apt guideline for REST API testing .,,10,,,,Allof these,,"Test Early, Test Often",Set Realistic Benchmarks,Allof these,Create Realistic Scenarios,,,0
mcsc,How will you log variable values in Postman?,,10,,,,console.log(),,console.log(),variable.log(),System.log(),All of the above,,,0
mcsc,"If we have a global and a local variable of the same name, which one will be given the most preference in Postman?",,10,,,,Local,,Local,Global,Both,None Of The Above,,,0
mcsc,What is the most secure method to transmit and API key?,,10,,,,Authorization Header,,URL Parameter,Authorization Header,Basic Authentication,None Of The Above,,,0
mcsc,Which of the following component of HTTP request contains message content or resource representation,,10,,,,Request Body,,Request Body,HTTP version,Request Header,URI,,,0
mcsc,"Which of the following HTTP Status code means CREATED, when a resource is successful created using POST or PUT request?",,10,,,,201,,200,201,204,304,,,0
mcsc,Which one of the following is not a component of Rest API request/response?,,10,,,,None Of The Above,,Request URI,Request Message Header,Request Messge body,None Of The Above,,,0
mcsc,What is the significance of 301 status code?,,10,,,,301 status code represents permanent redirect from one website page to another. It tells the search engine that the old page is outdated and the engine has to index the new page URL.,,301 status code represents permanent redirect from one website page to another. It tells the search engine that the old page is outdated and the engine has to index the new page URL.,"301 redirect status response code indicates that the request has more than one possible responses. The user-agent or the user should choose one of them. As there is no standardized way of choosing one of the responses, this response code is very rarely used.","This response code is reserved for future use. The initial aim for creating this code was using it for digital payment systems, however this status code is used very rarely and no standard convention exists.","This response is sent on an idle connection by some servers, even without any previous request by the client. It means that the server would like to shut down this unused connection. This response is used much more since some browsers, like Chrome, Firefox 27+, or IE9, use HTTP pre-connection mechanisms to speed up surfing. Also note that some servers merely shut down the connection without sending this message.",,,0
