questionType,contentBody,intAnswer,prepTime,floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,mcmcAnswer,tagRelationships,difficultyLevel
mcsc,"The following statements relate to activities that are part of the fundamental test process.                                                                                                                                                                                       i. Evaluating the testability of requirements.
ii. Repeating testing activities after changes.
iii. Designing the test environment set-up.
iv. Developing and prioritizing test cases.
v. Verifying the environment is set up correctly.
Which statement below is TRUE?",,10,,,,"(i) and (iii) are part of analysis and design, (ii), (iv) and (v) are part of test implementation and execution.",," (i) and (ii) are part of analysis and design, (iii), (iv) and (v) are part of test implementation and execution.","(i) and (iii) are part of analysis and design, (ii), (iv) and (v) are part of test implementation and execution.","(i) and (v) are part of analysis and design, (ii), (iii) and (iv) are part of test implementation and execution.","


 (i) and (iv) are part of analysis and design, (ii), (iii) and (v) are part of test implementation and
execution.",,6462009e5dba6bad7fae2013,0
mcsc,Which of the following statements are true?                                                                                                                                                                                                                                                                        (i) For every development activity there is a corresponding testing activity.                                                                                                                                                                                                                (ii) Each test level has the same test objectives.                                                                                                                                                                                                                                                           (iii) The analysis and design of tests for a given test level should begin after the corresponding development activity.                                                                                                                                        (iv)Testers should be involved in reviewing documents as soon as drafts are available in the development life cycle.,,10,,,,"


 (i) and (iv)",, (i) and (ii),(iii) and (iv),(ii) and (iii),"


 (i) and (iv)",,6462009e5dba6bad7fae2013,0
mcsc,Which of the following pairs of test tools are likely to be most useful during the test analysis and design stage of the fundamental test process?                                                                                                  (i) Test execution tool                                                                                                                                                                                                                                                                                                 (ii) Test data preparation tool                                                                                                                                                                                                                                                                                      (iii) Test management tool                                                                                                                                                                                                                                                                                               (iv) Requirements management tool,,10,,,,(iii) and (iv),,(i) and (ii),(i) and (iv), (ii) and (iii),(iii) and (iv),,6462009e5dba6bad7fae2013,0
mcsc,"Which of the following could be a reason for a failure?                                                                                                                                                                                                                                                      1) Testing fault                                                                                                                                                                                                                                                                                                              2) Software fault                                                                                                                                                                                                                                                                                                           3) Design fault                                                                                                                                                                                                                                                                                                                4) Environment Fault                                                                                                                                                                                                                                                                                                         5) Documentation Fault                                                                                                                                                                                                                                                                                                A. 2 is a valid reason; 1, 3, 4 & 5 are not                                                                                                                                                                                                                                                                   B. 1, 2, 3, 4 are valid reasons; 5 is not                                                                                                                                                                                                                                                                        C. 1, 2, 3 are valid reasons; 4 & 5 are not                                                                                                                                                                                                                                                                     D. All of them are valid reasons for failure",,10,,,,"2 is a valid reason; 1, 3, 4 & 5 are not",,"2 is a valid reason; 1, 3, 4 & 5 are not","1, 2, 3, 4 are valid reasons; 5 is not","1, 2, 3 are valid reasons; 4 & 5 are not","

All of them are valid reasons for failure",,6462009e5dba6bad7fae2013,0
mcsc,Consider the following statements about early test design: i. Early test design can prevent fault multiplication ii. Faults found during early test design are more expensive to fix iii. Early test design can find faults iv. Early test design can cause changes to the requirements v. Early test design takes more effort,,10,,,," i, iii & iv are true. ii & v are false",," i, iii & iv are true. ii & v are false","iii is true, i, ii, iv & v are false"," iii & iv are true. i, ii & v are false","


i, iii, iv & v are true, ii us false
",,6462009e5dba6bad7fae2013,0
mcsc,"When assembling a test team to work on an enhancement to an existing system, which of the following has the highest level of test independence?",,10,,,,"


A contract tester who has never worked for the organization before.",,A business analyst who wrote the original requirements for the system.,"A permanent programmer who reviewed some of the new code, but has not written any of it.", A permanent tester who found most defects in the original system.,"


A contract tester who has never worked for the organization before.",,6462009e5dba6bad7fae2013,0
mcsc,"Consider a scenario , a developer develops the application and pass it to the tester for testing, tester found the defect and again pass it to the developer for fixing the defect, but developer mark it as NOT A BUG , why?",,10,,,, If the defect is not considered a genuine defect by the developer then it is marked as “Rejected” by the developer.,,"If the developer feels that the defect is not of very important priority and it can get fixed in the next releases or so in such a case, he can change the status of the defect as ‘Deferred’.","If the defect does not have an impact on the functionality of the application, then the status of the defect gets changed to “Not a Bug”.", If the defect is not considered a genuine defect by the developer then it is marked as “Rejected” by the developer., If the developer finds the defect as same as any other defect or if the concept of the defect matches any other defect then the status of the defect is changed to ‘Duplicate’ by the developer.,,6462009e5dba6bad7fae2013,0
mcsc,"When there are multiple variables in a screen with multiple values each, which is the best test design technique?",,10,,,,Orthogonal Arrays,,Orthogonal Arrays,State Transition,All-Pairs,Decision Tables,,6462009e5dba6bad7fae2013,0
mcsc,Where can the tests be added for execution?,,10,,,,Test Cycle,,Test metrics,Test Cycle,Test summary,Test Plan,,6462009e5dba6bad7fae2013,0
mcsc,Who is essentially responsible for the quality of a product?,,10,,,,Development Manager,,QA Manager ,Development Manager,Test Manager ,Customer ,,6462009e5dba6bad7fae2013,0
mcsc,System Testing is a combination of ,,10,,,,Functional & Non-Functional,,White-Box & Black-Box,Functional & Non-Functional,Verification & Validation,None,,6462009e5dba6bad7fae2013,0
mcsc,Who Does unit Testing,,10,,,,Developer,,Developer,Tester,BA,None,,6462009e5dba6bad7fae2013,0
mcsc,"To produce a good quality product, process should be",,10,,,,Efficient,,Complex,Efficient,Rigorous,None,,6462009e5dba6bad7fae2013,0
mcsc,_____________ summarizes the functionality to be tested without providing the steps to be followed to test the functionality mentioned in the Use case / Functional Specification,,10,,,, Test Scenario,,Test Case,Test Plan, Test Strategy, Test Scenario,,6462009e5dba6bad7fae2013,0
mcsc,"Consider a scenario of login where the tester will pass valid and invalid creditials, when the valid credentials are passed he should be able to enter in to the homepage, which is not happening. When the tester enters invalid credentials he should get an error message, which is also not happening. How will you address this?",,10,,,,There is a blocker on the login button which is not allowing  the user to navigate to the home page of particular application ,,wrong url used in the browser, The credentials entered in the text box are case sensitive.,There is a blocker on the login button which is not allowing  the user to navigate to the home page of particular application , ignore the login page and start testing the home page.,,6462009e5dba6bad7fae2013,0
mcsc,"If Web service operation has both input and output messages, then the operation is",,10,,,,Request Response Operation,,One Way operation,Request Response Operation,Solicit response operation,Notification Operation,,6462009e5dba6bad7fae2013,0
mcsc,The basic Web Services platform is combination of _____ and _______.,,10,,,,XML + HTTP,,CSS + HTTP,XML + HTTP,XML + HTML,CSS + JAVA,,6462009e5dba6bad7fae2013,0
mcsc,"A valid XML document means:
 (i) The document must be well formed
 (ii) The document must apply to the rules of the DTD",,10,,,,Both i and ii are true,,Both i and ii are true,Only i is true,Only ii is true,None of the above,,6462009e5dba6bad7fae2013,0
mcsc,Select the Right Syntax to fetch the response code from a request.,,10,,,,get.getResponseCode();,,get.getresponsecode();,getResponseCode();,get.ResponseCode();,get.getResponseCode();,,6462009e5dba6bad7fae2013,0
mcsc,Which testing will cover security aspects of the services created to make sure that appropriate security policies are enforced on relevant services according to enterprise security architectures.,,10,,,,Security testing,,Data abstraction or data service level,Component testing,Governance testing,Security testing,,6462009e5dba6bad7fae2013,0
mcsc,"Assume you get the following response for a request:
 
 {
 
  ""timestamp"": 1491748899439,
 
  ""status"": 401
 
 }",,10,,,,"var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);",,"var jsonData = JSON.parse(responseBody); postman.setGlobalVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", jsonData.timestamp);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""token"", timestamp.jsonData);","var jsonData = JSON.parse(responseBody); postman.setEnvironmentVariable(""tokens"", timestamp.jsonData);",,6462009e5dba6bad7fae2013,0
mcsc,"When You run a request, where can you find the Response Status.",,10,,,,Header,,RAW,Header,XML,SOAP,,6462009e5dba6bad7fae2013,0
mcsc,Which of the following is correctly defining web service interoperability?,,10,,,,All of the above.,,Web services allow various applications to talk to each other and share data and services among themselves.,Other applications can also use the web services,Web services are used to make the application platform and technology independent.,All of the above.,,6462009e5dba6bad7fae2013,0
mcsc,Choose the correct option with refernce to Rest API,,10,,,,The default media type for request and response is application/json,,There is no default media type for both request and response,The default media type for request and response is application/json,"The default media type foe request is application/json, while there is not media type for response","The default media type foe response is application/json, while there is not media type for request",,6462009e5dba6bad7fae2013,0
mcsc,401 HTTP Response Code indicates,,10,,,,error indicates that you need to perform authentication before accessing the resource.,,Code indicates that the request was successful.,error indicates that you need to perform authentication before accessing the resource.,Occurs due to some error on Server side,"It happens especially with POST and PUT requests, when the data does not pass validation, or is in the wrong format",,6462009e5dba6bad7fae2013,0
mcsc,Which of the following protocol is used by RESTful web services as a medium of communication between client and server?,,10,,,,HTTP,,HTTP,FTP,SOAP,XML,,6462009e5dba6bad7fae2013,0
mcsc,What is valid for Workspace in Postman?,,10,,,,All of these,,Postman workspaces allow you to organize and collaborate on API projects with your team and personal use.,We can create multiple workspaces in Postman.,My workspace is the default workspace in Postman.,All of these,,6462009e5dba6bad7fae2013,0
mcsc,"Which of the following HTTP Status code means NOT FOUND, states that method is not available?",,10,,,,404,,400,401,404,409,,6462009e5dba6bad7fae2013,0
mcsc,What is valid for Collection runner in Postman?,,10,,,,All of these.,,The Collection Runner allows you to run sets of requests in a specified sequence.,"The Collection Runner will log your request test results, and your scripts can pass data between requests as well as altering the request workflow.","You can run collections against specific environments, and can pass data files into a run.",All of these.,,6462009e5dba6bad7fae2013,0
mcsc,"Identify the response code for the below scenraio:
 It happens especially with POST and PUT requests, when the data does not pass validation, or is in the wrong format.",,10,,,,400,,400,401,404,405,,6462009e5dba6bad7fae2013,0
mcsc,"Pick the variable scope in Postman which are scoped to a single request or collection run, and are no longer available when the run is complete.",,10,,,,Local variables,,Global variables,Collection variables,& Environment variable,Local variables,,6462009e5dba6bad7fae2013,0
mcsc,What does History tab in Postman is used for?,,10,,,,Every request you send in Postman appears under the History tab of the sidebar.,,History is a collection.,History is a folder.,None of these,Every request you send in Postman appears under the History tab of the sidebar.,,6462009e5dba6bad7fae2013,0
mcsc,Which of the following HTTP method should be used to fetch resource using RESTful web service?,,10,,,,GET,,GET,DELETE,PUT,OPTIONS,,6462009e5dba6bad7fae2013,0
mcsc,Which of the following is not supported in Postman?,,10,,,,None of these,,PATCH,DELETE,COPY,None of these,,6462009e5dba6bad7fae2013,0
mcsc,Which of the following HTTP method should be used to create resource using RESTful web service?,,10,,,,PUT,,GET,DELETE,PUT,OPTIONS,,6462009e5dba6bad7fae2013,0
mcsc,"If Web service operation has both input and output messages, then the operation is",,10,,,,Request Response Operation,,One Way operation,Request Response Operation,Solicit response operation,Notification Operation,,6462009e5dba6bad7fae2013,0
mcsc,Select the variable scope in Postman which are suitable if you need a value to override all other variable scopes but do not want the value to persist once execution has ended?,,10,,,,Local variables,,Global variables,Collection variables,Environment variables,Local variables,,6462009e5dba6bad7fae2013,0
mcsc,"what does a REST URI Consist of:
 1. Base URL
 2. Resource
 3. Parameter",,10,,,,"1, 2 & 3",,1 & 2,"1, 2 & 3",1 only,1 & 3,,6462009e5dba6bad7fae2013,0
mcsc,"Which of the following variable scope in Postman are suitable if you are only using a single environment, for example for auth / URL details ?",,10,,,,Collection variables,,Global variables,Collection variables,Local variables,Environment variables,,6462009e5dba6bad7fae2013,0
mcsc,"What does it mean when a service is ""stateless?""",,10,,,,The service does not depend on the condition of any other service; all information needed to provide a response comes from the request and response is not stored.,,"The service is not tied to a particular framework, such as Java Enterprise Edition or Microsoft .NET",The service does not depend on the condition of any other service; all information needed to provide a response comes from the request and response is not stored.,"The service is created independently of a programming language, such as Java or C#",None of the above,,6462009e5dba6bad7fae2013,0
